"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","TradeFlowName","TradeFlowCode","2018 in 1000 USD ","2019 in 1000 USD ","2020 in 1000 USD ","2021 in 1000 USD ","2022 in 1000 USD ","2023 in 1000 USD "
"H5","AGO"," Total","Angola","DEU","Germany","Export",6,2460.632,4889.11,3684.448,4314.213,9201.078,
"H5","AGO"," Total","Angola","DEU","Germany","Import",5,177049.417,153012.548,152885.467,184265.901,251853.153,
"H5","AGO"," Total","Angola","DJI","Djibouti","Export",6,,11.745,13.427,8.724,16.099,
"H5","AGO"," Total","Angola","DJI","Djibouti","Import",5,2782.078,404.668,,,1126.249,
"H5","AGO"," Total","Angola","DMA","Dominica","Import",5,6.575,14.211,3.274,37.067,38.741,
"H5","AGO"," Total","Angola","DNK","Denmark","Export",6,388.602,507.633,520.455,559.187,308.082,
"H5","AGO"," Total","Angola","DNK","Denmark","Import",5,14509.649,45972.978,93447.035,40587.944,81056.199,
"H5","AGO"," Total","Angola","DOM","Dominican Republic","Export",6,,,3.286,15051.89,3.591,
"H5","AGO"," Total","Angola","DOM","Dominican Republic","Import",5,176.789,219.594,135.605,129.842,194.437,
"H5","AGO"," Total","Angola","DZA","Algeria","Export",6,245.226,132.727,31.324,1.627,5.155,
"H5","AGO"," Total","Angola","DZA","Algeria","Import",5,376.486,218.061,2680.419,576.106,10353.54,
"H5","AGO"," Total","Angola","ECU","Ecuador","Export",6,41.91,9.54,1.114,42.013,399.359,
"H5","AGO"," Total","Angola","ECU","Ecuador","Import",5,480.025,156.894,239.573,457.16,933.415,
"H5","AGO"," Total","Angola","EGY","Egypt, Arab Rep.","Export",6,773.962,447.44,310.609,270.635,321.805,
"H5","AGO"," Total","Angola","EGY","Egypt, Arab Rep.","Import",5,29530.497,39004.006,16592.723,21916.915,29153.304,
"H5","AGO"," Total","Angola","ERI","Eritrea","Export",6,,0.831,0.009,0.072,2.668,
"H5","AGO"," Total","Angola","ERI","Eritrea","Import",5,,12.348,6.799,12.167,21.13,
"H5","AGO"," Total","Angola","ESH","Western Sahara","Import",5,,,,0.269,,
"H5","AGO"," Total","Angola","ESP","Spain","Export",6,1235489.702,1252901.476,528435.543,665776.538,2219059.699,
"H5","AGO"," Total","Angola","ESP","Spain","Import",5,140244.268,202698.283,133047.209,130354.249,226483.947,
"H5","AGO"," Total","Angola","EST","Estonia","Export",6,,76.427,,,,
"H5","AGO"," Total","Angola","EST","Estonia","Import",5,477.244,1032.593,1248.078,1039.861,34343.373,
"H5","AGO"," Total","Angola","ETH","Ethiopia(excludes Eritrea)","Export",6,47.295,62.198,8.567,67.053,212.32,
"H5","AGO"," Total","Angola","ETH","Ethiopia(excludes Eritrea)","Import",5,2320.059,3200.893,1141.118,1466.484,5675.208,
"H5","AGO"," Total","Angola","FIN","Finland","Export",6,47.989,729.331,45.461,3.891,1.565,
"H5","AGO"," Total","Angola","FIN","Finland","Import",5,32655.873,2455.491,1059.032,4156.791,6318.27,
"H5","AGO"," Total","Angola","FJI","Fiji","Export",6,,,,,2.5,
"H5","AGO"," Total","Angola","FJI","Fiji","Import",5,2.595,,4.275,,,
"H5","AGO"," Total","Angola","FLK","Falkland Island","Import",5,2.596,,,2.111,,
"H5","AGO"," Total","Angola","FRA","France","Export",6,573475.816,601049.087,352375.735,234019.828,3631949.445,
"H5","AGO"," Total","Angola","FRA","France","Import",5,440789.306,1758274.255,308237.059,411298.688,377093.367,
"H5","AGO"," Total","Angola","FRO","Faeroe Islands","Import",5,,,,0.466,,
"H5","AGO"," Total","Angola","GAB","Gabon","Export",6,5200.696,3902.554,308.59,332.342,2139.837,
"H5","AGO"," Total","Angola","GAB","Gabon","Import",5,326.296,1037.597,4798.677,1058.25,1819.533,
"H5","AGO"," Total","Angola","GBR","United Kingdom","Export",6,330724.339,63689.159,18938.089,28700.078,1422551.884,
"H5","AGO"," Total","Angola","GBR","United Kingdom","Import",5,454043.187,418037.076,431880.75,519923.388,624635.77,
"H5","AGO"," Total","Angola","GEO","Georgia","Export",6,0.93,0.854,,,9.838,
"H5","AGO"," Total","Angola","GEO","Georgia","Import",5,4616.413,461.722,455.299,966.38,2426.521,
"H5","AGO"," Total","Angola","GHA","Ghana","Export",6,27469.386,15695.371,10642.857,7596.021,24444.279,
"H5","AGO"," Total","Angola","GHA","Ghana","Import",5,726.481,6798.328,3395.999,4268.456,11022.248,
"H5","AGO"," Total","Angola","GIB","Gibraltar","Export",6,1.173,,0,67659.074,112325.476,
"H5","AGO"," Total","Angola","GIB","Gibraltar","Import",5,173.482,297.562,26.032,0.926,323.561,
"H5","AGO"," Total","Angola","GIN","Guinea","Export",6,927.051,1739.073,461.55,1259.182,672.074,
"H5","AGO"," Total","Angola","GIN","Guinea","Import",5,61.108,115.463,232.452,653.406,171.376,
"H5","AGO"," Total","Angola","GMB","Gambia, The","Export",6,56.93,37.264,10.155,18.192,30.238,
"H5","AGO"," Total","Angola","GMB","Gambia, The","Import",5,44.438,1.442,0.985,0.777,,
"H5","AGO"," Total","Angola","GNB","Guinea-Bissau","Export",6,38.517,66.173,449.784,0.12,3.153,
"H5","AGO"," Total","Angola","GNB","Guinea-Bissau","Import",5,11.333,16.112,,23.355,16.514,
